Video_Name,Tech,Upload_time,Day,Q_and_A,has_captions,Views,Shares,Comments,Likes,Hashtags,Cover,Length,avg_watch,Location,Humor,Hat
Reply jonahill42069,0,17,5,1,0,229,0,0,20,None,0,22,8,1,0,1
Reply raggaxbomb,1,17,5,1,0,198,0,0,7,None,0,31,9,1,0,1
Repyl jimmy.dai,1,17,5,1,0,196,0,1,1,None,0,27,10,1,0,1
Reply alfredoughs55,0,17,5,1,0,210,0,1,15,None,0,31,10,1,0,1
Reply MathewsJoyys,0,17,5,1,0,202,0,1,10,None,0,22,8,1,0,1
Humor Devops,1,18,5,0,0,334,0,1,19,"Devops,SoftwareEngineer,dataanalytics",0,9,8,1,1,1
Humor Dev TDD,1,1,5,0,0,103,0,1,10,"SoftwareEngineer, DataAnalytics,Compsci",0,3,5,3,1,1
Humor ML,1,19,5,0,0,7037,0,3,164,"Dataanalytics,softwareengineer,compsci",0,10,9,6,1,1
Humor ML,1,18,6,0,0,2032,0,3,55,"Datascience, dataanalytics, machinelearning,softwareengineer",0,5,7,1,1,1
Humor TikTok,1,19,7,0,0,343,0,1,17,"Softwareengineer, webdeveloper,dataanalytics",0,8,8,1,1,0
Reply MathewsJoyys,0,21,7,1,0,203,0,1,7,None,0,29,6,1,0,
Reply mydadlol69,0,21,7,1,0,221,1,1,21,None,0,58,20,1,0,0
Humor Grade,0,22,7,0,0,143,0,0,6,"Compscimajor, softwareengineer, data analyst",0,4,6,3,1,0
Humor College Counselors,0,18,1,0,0,73,0,0,8,"Collegelife,college,dataanalytics,softwareengineer",0,5,9,1,1,0
What are the weed out classes,1,17,2,0,0,311,1,6,26,"University, coming2america, dataanalytics",1,13,10,1,1,1
FAANG Interview,1,19,3,0,0,218,0,0,11,"Dataanalyst, compsci, machinelearningalgorithm",0,11,8,1,1,1
Mac mini Unboxing,1,7,6,0,0,679,0,1,20,"M1Mac,macmini2020,macmini",0,7,6,3,0,0
Cooking Ramen,0,18,6,0,0,1400,0,0,2,"Samyang, noodles, ramen",0,15,8,3,0,3
Showing how ResuCan works,0,4,1,0,0,591,0,0,12,"resume, resumetips, resumehelp",0,13,4,3,0,0
WWE ,0,1,4,0,0,177,0,1,7,None,0,10,8,1,1,0
Humor Internship,1,1,4,0,0,11000,9,83,753,"Dataanalytics,softwaredeveloperlife,datanalyticscertificate,googlecertficiation",0,6,9,1,1,1
